Timestamp,Page,Name,Old,New,User,IP
2024-09-25-13:26:49.455,Wtc,WtcTimer::Autotime,false,true,__SystemUser, 
2024-09-25-13:27:32.185,Wtc,Wtc::DoTestposition,false,true,__SystemUser, 
2024-09-25-13:27:50.068,Wtc,Wtc::DoTestposition,true,false,__SystemUser, 
2024-09-25-13:36:57.013,Wtc,WtcTimer::Autotime,true,false,__SystemUser, 
2024-09-25-13:37:02.771,Alarms,Machine::fbManualReset::fbCmd::ToWorkPos,false,true,__SystemUser, 
2024-09-25-13:37:50.813,Home,Wtc::ActPosition,5.999999046325684,6,__SystemUser, 
2024-09-25-13:48:26.398,Parameters_Settings,ParametersTableMultiPage,false,true,__SystemUser, 
2024-09-25-14:18:38.317,Alarms,Machine::fbManualReset::fbCmd::ToWorkPos,false,true,__SystemUser, 
2024-09-25-14:49:20.481,MainExtruder,MainExtruder::fbManualBaseProduction::fbCmd::ToWorkPos,false,true,__SystemUser, 
2024-09-25-14:49:24.073,CoExtruder,CoExtruder::fbManualBaseProduction::fbCmd::ToWorkPos,false,true,__SystemUser, 
